cettia_ruficapilla_badiceps_kunhm22504	badiceps
cettia_ruficapilla_badiceps_kunhm22524	badiceps
cettia_ruficapilla_badiceps_kunhm22544	badiceps
cettia_ruficapilla_badiceps_kunhm22553	badiceps
cettia_ruficapilla_badiceps_kunhm22563	badiceps
cettia_ruficapilla_badiceps_kunhm24358	badiceps
cettia_ruficapilla_badiceps_kunhm24374	badiceps
cettia_ruficapilla_badiceps_kunhm24375	badiceps
cettia_ruficapilla_badiceps_kunhm24389	badiceps
cettia_ruficapilla_castaneoptera_kunhm24243	castaneoptera
cettia_ruficapilla_castaneoptera_kunhm24270	castaneoptera
cettia_ruficapilla_castaneoptera_kunhm24289	castaneoptera
cettia_ruficapilla_castaneoptera_kunhm26502	castaneoptera
cettia_ruficapilla_castaneoptera_kunhm26521	castaneoptera
cettia_ruficapilla_castaneoptera_kunhm26535	castaneoptera
cettia_ruficapilla_castaneoptera_kunhm26539	castaneoptera
cettia_ruficapilla_funebris_kunhm24305	funebris
cettia_ruficapilla_funebris_kunhm24325	funebris
cettia_ruficapilla_ruficapilla_kunhm24393	ruficapilla
cettia_ruficapilla_ruficapilla_kunhm24399	ruficapilla
cettia_ruficapilla_ruficapilla_kunhm25208	ruficapilla
cettia_ruficapilla_ruficapilla_kunhm25228	ruficapilla
